pollster,state,start_date,end_date,sample_size,party,answer,candidate_name,pct,votes
AtlasIntel,,11/3/24,11/4/24,2703.0,DEM,Harris,Kamala Harris,48.1,1300.0
AtlasIntel,,11/3/24,11/4/24,2703.0,REP,Trump,Donald Trump,49.2,1330.0
AtlasIntel,,11/3/24,11/4/24,2703.0,GRE,Stein,Jill Stein,1.1,30.0
AtlasIntel,,11/3/24,11/4/24,2703.0,IND,West,Cornel West,0.3,8.0
AtlasIntel,,11/3/24,11/4/24,2703.0,LIB,Oliver,Chase Oliver,0.1,3.0
AtlasIntel,,11/3/24,11/4/24,2703.0,DEM,Harris,Kamala Harris,48.8,1319.0
AtlasIntel,,11/3/24,11/4/24,2703.0,REP,Trump,Donald Trump,50.0,1352.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,DEM,Harris,Kamala Harris,45.9,402.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,REP,Trump,Donald Trump,51.0,446.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,GRE,Stein,Jill Stein,1.0,9.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,LIB,Oliver,Chase Oliver,0.4,4.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,DEM,Harris,Kamala Harris,46.5,407.0
AtlasIntel,Arizona,11/3/24,11/4/24,875.0,REP,Trump,Donald Trump,51.6,452.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,DEM,Harris,Kamala Harris,48.2,536.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,REP,Trump,Donald Trump,48.2,536.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,GRE,Stein,Jill Stein,1.0,11.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,LIB,Oliver,Chase Oliver,0.5,6.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,DEM,Harris,Kamala Harris,48.3,537.0
AtlasIntel,Georgia,11/3/24,11/4/24,1112.0,REP,Trump,Donald Trump,49.9,555.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,DEM,Harris,Kamala Harris,47.8,532.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,REP,Trump,Donald Trump,49.6,552.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,GRE,Stein,Jill Stein,2.0,22.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,LIB,Oliver,Chase Oliver,0.2,2.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,DEM,Harris,Kamala Harris,48.3,538.0
AtlasIntel,Michigan,11/3/24,11/4/24,1113.0,REP,Trump,Donald Trump,49.8,554.0
AtlasIntel,Nevada,11/3/24,11/4/24,707.0,DEM,Harris,Kamala Harris,47.1,333.0
AtlasIntel,Nevada,11/3/24,11/4/24,707.0,REP,Trump,Donald Trump,50.2,355.0
AtlasIntel,Nevada,11/3/24,11/4/24,707.0,DEM,Harris,Kamala Harris,47.2,334.0
AtlasIntel,Nevada,11/3/24,11/4/24,707.0,REP,Trump,Donald Trump,50.2,355.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,DEM,Harris,Kamala Harris,47.6,580.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,REP,Trump,Donald Trump,49.8,607.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,GRE,Stein,Jill Stein,0.5,6.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,LIB,Oliver,Chase Oliver,0.2,2.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,DEM,Harris,Kamala Harris,47.9,584.0
AtlasIntel,North Carolina,11/3/24,11/4/24,1219.0,REP,Trump,Donald Trump,50.0,610.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,DEM,Harris,Kamala Harris,48.4,891.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,REP,Trump,Donald Trump,49.1,903.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,GRE,Stein,Jill Stein,0.6,11.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,LIB,Oliver,Chase Oliver,0.2,4.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,DEM,Harris,Kamala Harris,48.6,894.0
AtlasIntel,Pennsylvania,11/3/24,11/4/24,1840.0,REP,Trump,Donald Trump,49.6,913.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,DEM,Harris,Kamala Harris,47.9,416.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,REP,Trump,Donald Trump,49.1,427.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,GRE,Stein,Jill Stein,0.6,5.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,LIB,Oliver,Chase Oliver,0.0,0.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,DEM,Harris,Kamala Harris,48.6,422.0
AtlasIntel,Wisconsin,11/3/24,11/4/24,869.0,REP,Trump,Donald Trump,49.5,430.0
Trafalgar Group,Ohio,11/2/24,11/4/24,1095.0,DEM,Harris,Kamala Harris,45.2,495.0
Trafalgar Group,Ohio,11/2/24,11/4/24,1095.0,REP,Trump,Donald Trump,52.1,570.0
Survation,Pennsylvania,11/1/24,11/4/24,915.0,DEM,Harris,Kamala Harris,49.24,451.0
Survation,Pennsylvania,11/1/24,11/4/24,915.0,REP,Trump,Donald Trump,46.54,426.0
Survation,Pennsylvania,11/1/24,11/4/24,915.0,LIB,Oliver,Chase Oliver,0.84,8.0
Survation,Pennsylvania,11/1/24,11/4/24,915.0,GRE,Stein,Jill Stein,0.66,6.0
AtlasIntel,Minnesota,11/1/24,11/4/24,2065.0,DEM,Harris,Kamala Harris,48.9,1010.0
AtlasIntel,Minnesota,11/1/24,11/4/24,2065.0,REP,Trump,Donald Trump,46.8,966.0
AtlasIntel,Minnesota,11/1/24,11/4/24,2065.0,GRE,Stein,Jill Stein,2.1,43.0
AtlasIntel,Minnesota,11/1/24,11/4/24,2065.0,LIB,Oliver,Chase Oliver,0.5,10.0
